Machine,Part Number,Loading Start,Processing Start,End Time,Processing Time
Bay3_Machine_1,01 10 125 110 08 90 12_Batch_8,3236.6666666666665,3246.6666666666665,3338.3333333333335,91.66666666666667
Bay2_Machine_5,MB8240-7300-FIN_Batch_48,3246.6666666666665,3256.6666666666665,3426.6666666666665,170.0
Bay3_Machine_2,01 10 125 110 08 90 12_Batch_9,3260.0,3270.0,3361.6666666666665,91.66666666666667
Bay3_Machine_3,03 10 125 100 06 21 12_Batch_1,3283.3333333333335,3293.3333333333335,3385.0,91.66666666666667
Bay3_Machine_1,03 10 125 100 06 21 12_Batch_2,3338.3333333333335,3348.3333333333335,3440.0,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_49,3350.0,3360.0,3530.0,170.0
Bay3_Machine_2,03 10 125 100 06 21 12_Batch_3,3361.6666666666665,3371.6666666666665,3463.3333333333335,91.66666666666667
Bay2_Machine_2,MB8240-7300-FIN_Batch_50,3373.3333333333335,3383.3333333333335,3553.3333333333335,170.0
Bay3_Machine_3,03 10 125 100 06 21 12_Batch_4,3385.0,3395.0,3486.6666666666665,91.66666666666667
Bay2_Machine_3,MB8240-7300-FIN_Batch_51,3396.6666666666665,3406.6666666666665,3576.6666666666665,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_52,3406.6666666666665,3416.6666666666665,3586.6666666666665,170.0
Bay2_Machine_5,MB8240-7300-FIN_Batch_53,3426.6666666666665,3436.6666666666665,3606.6666666666665,170.0
Bay3_Machine_1,03 10 125 100 06 21 12_Batch_5,3440.0,3450.0,3541.6666666666665,91.66666666666667
Bay3_Machine_2,03 10 125 100 06 21 12_Batch_6,3463.3333333333335,3473.3333333333335,3565.0,91.66666666666667
Bay3_Machine_3,03 10 125 100 06 21 12_Batch_7,3486.6666666666665,3496.6666666666665,3588.3333333333335,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_54,3530.0,3540.0,3710.0,170.0
Bay3_Machine_1,03 10 125 100 06 21 12_Batch_8,3541.6666666666665,3551.6666666666665,3643.3333333333335,91.66666666666667
Bay2_Machine_2,MB8240-7300-FIN_Batch_55,3553.3333333333335,3563.3333333333335,3733.3333333333335,170.0
Bay3_Machine_2,03 10 125 100 06 21 12_Batch_9,3565.0,3575.0,3666.6666666666665,91.66666666666667
Bay2_Machine_3,MB8240-7300-FIN_Batch_56,3576.6666666666665,3586.6666666666665,3756.6666666666665,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_57,3586.6666666666665,3596.6666666666665,3766.6666666666665,170.0
Bay3_Machine_3,03 10 125 100 06 21 12_Batch_10,3596.6666666666665,3606.6666666666665,3698.3333333333335,91.66666666666667
Bay2_Machine_5,MB8240-7300-FIN_Batch_58,3606.6666666666665,3616.6666666666665,3786.6666666666665,170.0
Bay3_Machine_1,03 10 125 100 06 21 12_Batch_11,3643.3333333333335,3653.3333333333335,3745.0,91.66666666666667
Bay3_Machine_2,03 10 125 100 06 21 12_Batch_12,3666.6666666666665,3676.6666666666665,3768.3333333333335,91.66666666666667
Bay3_Machine_3,03 10 125 100 06 21 12_Batch_13,3698.3333333333335,3708.3333333333335,3800.0,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_59,3710.0,3720.0,3890.0,170.0
Bay2_Machine_2,MB8240-7300-FIN_Batch_60,3733.3333333333335,3743.3333333333335,3913.3333333333335,170.0
Bay3_Machine_1,03 10 125 100 06 21 12_Batch_14,3745.0,3755.0,3846.6666666666665,91.66666666666667
Bay2_Machine_3,MB8240-7300-FIN_Batch_61,3756.6666666666665,3766.6666666666665,3936.6666666666665,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_62,3766.6666666666665,3776.6666666666665,3946.6666666666665,170.0
Bay3_Machine_2,03 10 125 100 06 21 12_Batch_1,3776.6666666666665,3786.6666666666665,3878.3333333333335,91.66666666666667
Bay2_Machine_5,MB8240-7300-FIN_Batch_63,3786.6666666666665,3796.6666666666665,3966.6666666666665,170.0
Bay3_Machine_3,03 10 125 100 06 21 12_Batch_2,3800.0,3810.0,3901.6666666666665,91.66666666666667
Bay3_Machine_1,03 10 125 100 06 21 12_Batch_3,3846.6666666666665,3856.6666666666665,3948.3333333333335,91.66666666666667
Bay3_Machine_2,03 10 125 100 06 21 12_Batch_4,3878.3333333333335,3888.3333333333335,3980.0,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_64,3890.0,3900.0,4070.0,170.0
